# T2 Advanced B Baseline Evidence (Regenerated Truthful)

| File Path | Baseline Lines | Baseline Fences | Target Lines (max(b*1.15, b+40)) |
| :--- | :--- | :--- | :--- |
| book/advanced/src/ch06-circular-deps.md | 240 | 10 | 280 |
| book/advanced/src/ch06-circular-deps.ko.md | 266 | 10 | 306 |
| book/advanced/src/ch07-dynamic-modules.md | 247 | 8 | 287 |
| book/advanced/src/ch07-dynamic-modules.ko.md | 262 | 8 | 302 |
| book/advanced/src/ch08-module-graph.md | 408 | 12 | 470 |
| book/advanced/src/ch08-module-graph.ko.md | 403 | 12 | 464 |
| book/advanced/src/ch09-app-context.md | 348 | 10 | 401 |
| book/advanced/src/ch09-app-context.ko.md | 345 | 10 | 397 |
| book/advanced/src/ch10-runtime-branching.md | 325 | 10 | 374 |
| book/advanced/src/ch10-runtime-branching.ko.md | 318 | 10 | 366 |
| book/advanced/src/ch11-request-pipeline.md | 216 | 10 | 256 |
| book/advanced/src/ch11-request-pipeline.ko.md | 216 | 10 | 256 |
