# T2 Advanced B Metrics Evidence (Repair Pass)

| File Path | Current Lines | Target Lines | Status |
| :--- | :--- | :--- | :--- |
| book/advanced/src/ch06-circular-deps.md | 294 | 280 | PASS |
| book/advanced/src/ch06-circular-deps.ko.md | 321 | 306 | PASS |
| book/advanced/src/ch07-dynamic-modules.md | 294 | 287 | PASS |
| book/advanced/src/ch07-dynamic-modules.ko.md | 323 | 302 | PASS |
| book/advanced/src/ch08-module-graph.md | 472 | 470 | PASS |
| book/advanced/src/ch08-module-graph.ko.md | 467 | 464 | PASS |
| book/advanced/src/ch09-app-context.md | 415 | 401 | PASS |
| book/advanced/src/ch09-app-context.ko.md | 403 | 397 | PASS |
| book/advanced/src/ch10-runtime-branching.md | 377 | 374 | PASS |
| book/advanced/src/ch10-runtime-branching.ko.md | 370 | 366 | PASS |
| book/advanced/src/ch11-request-pipeline.md | 257 | 256 | PASS |
| book/advanced/src/ch11-request-pipeline.ko.md | 257 | 256 | PASS |

Overall Growth Rule Status: PASS
